age,state,area_type,family_income,father_education,mother_education,siblings_count,distance_to_school_km,toilet_facility,internet_access,scholarship,early_marriage_risk,attendance_percentage,academic_performance,dropout
11,West Bengal,Rural,1-3 Lakh,Secondary,Secondary,3,3.9,No,Yes,Yes,Yes,80,75,0
14,Rajasthan,Rural,Above 5 Lakh,Secondary,Illiterate,4,1.2,Yes,Yes,Yes,No,59,57,0
12,West Bengal,Urban,3-5 Lakh,Primary,Primary,4,1.9,No,Yes,No,No,44,88,0
17,West Bengal,Rural,3-5 Lakh,Primary,Primary,0,0.8,Yes,No,No,Yes,40,60,1
16,Gujarat,Rural,Above 5 Lakh,Secondary,Secondary,4,2.4,Yes,Yes,Yes,No,87,52,0
11,Odisha,Rural,Below 1 Lakh,Secondary,Secondary,0,0.9,No,Yes,No,No,77,79,1
14,Uttar Pradesh,Rural,Below 1 Lakh,Primary,Secondary,3,2.9,Yes,No,Yes,No,87,90,0
15,West Bengal,Rural,Below 1 Lakh,Graduate,Secondary,0,0.9,Yes,Yes,No,No,81,56,0
14,Bihar,Urban,Below 1 Lakh,Secondary,Secondary,1,2.9,Yes,No,No,No,100,61,0
15,Uttar Pradesh,Rural,1-3 Lakh,Secondary,Primary,2,2.7,Yes,No,Yes,Yes,70,94,1
11,West Bengal,Rural,3-5 Lakh,Secondary,Secondary,4,7.8,Yes,Yes,No,No,78,85,0
13,Bihar,Rural,1-3 Lakh,Secondary,Illiterate,6,2.9,Yes,Yes,Yes,No,80,54,0
14,Bihar,Rural,3-5 Lakh,Illiterate,Secondary,4,1.7,Yes,No,Yes,No,66,100,0
16,Maharashtra,Urban,3-5 Lakh,Primary,Primary,2,0.0,Yes,No,Yes,Yes,88,89,0
12,Gujarat,Urban,Below 1 Lakh,Primary,Primary,2,2.4,Yes,No,Yes,Yes,68,68,1
11,Bihar,Rural,1-3 Lakh,Primary,Illiterate,2,1.5,No,No,No,No,72,63,0
16,West Bengal,Rural,3-5 Lakh,Primary,Secondary,4,7.2,No,No,No,No,61,58,1
16,Tamil Nadu,Rural,Below 1 Lakh,Illiterate,Illiterate,4,10.4,Yes,Yes,No,Yes,78,43,1
15,Odisha,Rural,1-3 Lakh,Secondary,Graduate,3,11.0,No,No,Yes,No,57,44,1
16,Maharashtra,Urban,Below 1 Lakh,Secondary,Secondary,6,1.8,Yes,Yes,No,No,87,64,0
12,Maharashtra,Urban,Below 1 Lakh,Secondary,Secondary,1,6.1,Yes,Yes,Yes,Yes,78,34,1
17,Uttar Pradesh,Urban,3-5 Lakh,Illiterate,Illiterate,6,0.6,No,Yes,No,No,82,50,0
15,Tamil Nadu,Rural,Above 5 Lakh,Primary,Secondary,6,2.4,Yes,Yes,No,Yes,83,69,0
13,Maharashtra,Urban,Below 1 Lakh,Primary,Illiterate,5,4.1,No,No,No,No,69,93,1
11,Madhya Pradesh,Rural,Below 1 Lakh,Illiterate,Primary,6,1.0,Yes,No,No,No,69,58,0
15,West Bengal,Urban,1-3 Lakh,Secondary,Primary,2,2.9,Yes,Yes,Yes,Yes,100,67,0
15,Karnataka,Rural,1-3 Lakh,Graduate,Secondary,1,12.8,No,Yes,No,Yes,68,52,1
16,Odisha,Rural,Above 5 Lakh,Illiterate,Illiterate,3,3.8,Yes,No,No,No,71,41,0
16,Uttar Pradesh,Urban,Below 1 Lakh,Primary,Primary,1,0.0,Yes,No,Yes,No,56,31,1
13,West Bengal,Urban,Below 1 Lakh,Primary,Illiterate,5,5.8,No,Yes,Yes,No,57,39,1
12,Bihar,Rural,Below 1 Lakh,Graduate,Illiterate,6,0.3,Yes,No,Yes,No,59,26,1
12,Rajasthan,Rural,Below 1 Lakh,Secondary,Secondary,5,1.7,No,No,No,No,92,43,1
14,Karnataka,Rural,Below 1 Lakh,Primary,Illiterate,5,0.0,Yes,Yes,Yes,No,100,91,0
11,Bihar,Rural,Below 1 Lakh,Illiterate,Secondary,6,0.4,Yes,No,Yes,Yes,100,76,1
15,Gujarat,Urban,1-3 Lakh,Secondary,Illiterate,5,3.6,Yes,No,No,Yes,89,79,1
11,Gujarat,Rural,1-3 Lakh,Primary,Secondary,1,0.7,Yes,No,No,No,78,56,0
13,West Bengal,Rural,Below 1 Lakh,Graduate,Primary,1,0.4,No,Yes,Yes,No,79,39,0
15,Gujarat,Urban,1-3 Lakh,Primary,Secondary,5,1.7,No,No,Yes,No,63,43,1
11,Rajasthan,Urban,Below 1 Lakh,Graduate,Primary,5,4.9,Yes,Yes,No,No,64,77,1
16,West Bengal,Rural,1-3 Lakh,Primary,Illiterate,3,1.2,No,Yes,No,No,53,58,1
13,Rajasthan,Rural,Below 1 Lakh,Primary,Primary,3,0.0,Yes,No,No,No,45,59,1
12,Madhya Pradesh,Urban,Above 5 Lakh,Graduate,Graduate,5,2.0,Yes,Yes,Yes,No,37,29,0
13,West Bengal,Rural,Below 1 Lakh,Illiterate,Secondary,2,7.1,Yes,Yes,No,No,72,88,0
15,Maharashtra,Urban,Below 1 Lakh,Primary,Secondary,0,0.4,Yes,Yes,Yes,No,92,85,0
16,Rajasthan,Rural,Below 1 Lakh,Graduate,Secondary,0,1.8,Yes,No,No,No,76,60,0
16,Uttar Pradesh,Urban,Below 1 Lakh,Secondary,Illiterate,3,1.0,Yes,Yes,No,No,82,81,0
14,West Bengal,Rural,Above 5 Lakh,Secondary,Secondary,2,1.3,No,Yes,Yes,No,67,100,0
14,Tamil Nadu,Rural,Above 5 Lakh,Primary,Primary,5,0.0,No,Yes,Yes,No,75,54,0
14,Madhya Pradesh,Urban,Below 1 Lakh,Secondary,Primary,2,2.3,Yes,No,Yes,Yes,86,66,1
15,Odisha,Urban,3-5 Lakh,Graduate,Primary,3,7.8,Yes,No,Yes,No,73,66,0
15,West Bengal,Urban,1-3 Lakh,Secondary,Illiterate,4,0.3,Yes,Yes,No,No,86,66,0
13,Gujarat,Urban,Above 5 Lakh,Illiterate,Secondary,1,0.1,Yes,Yes,Yes,No,79,67,0
14,Karnataka,Urban,1-3 Lakh,Primary,Primary,0,2.7,Yes,No,Yes,No,74,77,0
13,Bihar,Urban,Below 1 Lakh,Primary,Primary,6,1.8,Yes,Yes,No,No,60,67,0
17,Karnataka,Urban,1-3 Lakh,Primary,Illiterate,4,2.1,Yes,No,No,No,68,80,0
15,Madhya Pradesh,Rural,3-5 Lakh,Secondary,Illiterate,0,2.6,Yes,Yes,No,Yes,78,83,1
17,Odisha,Urban,Below 1 Lakh,Illiterate,Secondary,1,6.6,No,Yes,No,Yes,70,49,1
12,Rajasthan,Urban,Above 5 Lakh,Graduate,Primary,4,0.1,No,No,Yes,No,84,70,0
16,Madhya Pradesh,Urban,3-5 Lakh,Secondary,Primary,2,3.5,No,No,No,Yes,76,80,1
13,Madhya Pradesh,Rural,Below 1 Lakh,Illiterate,Primary,3,4.4,Yes,No,No,Yes,71,22,1
14,West Bengal,Urban,Below 1 Lakh,Primary,Secondary,4,0.9,Yes,No,No,No,44,50,0
12,Odisha,Rural,Below 1 Lakh,Illiterate,Secondary,0,2.8,No,Yes,No,No,76,60,1
17,Gujarat,Rural,Below 1 Lakh,Secondary,Illiterate,1,2.2,Yes,No,No,Yes,69,39,1
16,Tamil Nadu,Rural,3-5 Lakh,Secondary,Primary,1,1.9,Yes,No,Yes,No,62,71,0
11,Rajasthan,Urban,1-3 Lakh,Illiterate,Secondary,0,1.3,No,Yes,Yes,No,56,43,1
14,Gujarat,Rural,1-3 Lakh,Illiterate,Illiterate,0,2.9,Yes,Yes,Yes,No,79,75,0
16,Gujarat,Urban,Below 1 Lakh,Illiterate,Illiterate,3,0.2,No,No,No,No,86,43,1
15,Uttar Pradesh,Urban,1-3 Lakh,Secondary,Illiterate,2,3.5,Yes,No,No,No,79,45,1
15,Madhya Pradesh,Rural,Below 1 Lakh,Graduate,Primary,4,0.9,Yes,No,No,No,72,31,1
13,Odisha,Rural,3-5 Lakh,Secondary,Illiterate,3,2.4,Yes,Yes,Yes,No,76,74,0
16,Karnataka,Rural,3-5 Lakh,Graduate,Primary,0,0.5,No,Yes,No,No,75,49,1
15,Odisha,Rural,3-5 Lakh,Graduate,Primary,3,3.3,Yes,No,Yes,No,100,74,0
15,Bihar,Urban,1-3 Lakh,Primary,Graduate,0,1.3,Yes,No,No,No,36,71,0
17,Rajasthan,Urban,1-3 Lakh,Primary,Primary,3,1.4,Yes,No,No,No,83,93,0
17,West Bengal,Rural,3-5 Lakh,Illiterate,Secondary,0,2.3,Yes,No,No,No,73,73,0
13,Bihar,Urban,1-3 Lakh,Secondary,Graduate,0,0.3,No,No,No,No,81,67,0
13,Odisha,Urban,Below 1 Lakh,Secondary,Illiterate,3,0.4,No,No,Yes,Yes,100,68,1
17,Uttar Pradesh,Rural,1-3 Lakh,Primary,Illiterate,6,6.3,Yes,Yes,Yes,No,94,82,0
14,Gujarat,Urban,3-5 Lakh,Graduate,Illiterate,6,4.2,Yes,No,No,No,31,54,0
16,Rajasthan,Rural,Below 1 Lakh,Illiterate,Secondary,2,5.1,No,No,Yes,Yes,46,93,1
13,West Bengal,Urban,Above 5 Lakh,Illiterate,Illiterate,2,0.6,Yes,No,No,No,74,69,0
12,Gujarat,Urban,Above 5 Lakh,Primary,Illiterate,4,0.7,Yes,No,Yes,No,71,67,0
12,Tamil Nadu,Urban,1-3 Lakh,Illiterate,Secondary,6,8.5,Yes,Yes,No,No,73,52,0
12,Uttar Pradesh,Rural,1-3 Lakh,Illiterate,Primary,3,0.7,No,Yes,No,No,70,49,0
16,Gujarat,Rural,3-5 Lakh,Primary,Primary,1,3.1,Yes,No,No,No,62,68,1
16,Madhya Pradesh,Urban,1-3 Lakh,Illiterate,Secondary,3,0.2,Yes,No,No,No,72,97,0
16,Bihar,Rural,Below 1 Lakh,Primary,Secondary,5,3.2,Yes,Yes,No,Yes,77,48,1
16,Karnataka,Urban,Below 1 Lakh,Primary,Secondary,3,7.5,No,Yes,No,No,94,65,0
13,Madhya Pradesh,Rural,3-5 Lakh,Primary,Illiterate,2,3.1,Yes,Yes,Yes,No,64,83,0
11,Uttar Pradesh,Urban,1-3 Lakh,Graduate,Graduate,6,2.8,Yes,Yes,Yes,No,84,69,0
16,West Bengal,Urban,Below 1 Lakh,Illiterate,Secondary,0,3.6,Yes,Yes,Yes,No,71,27,0
16,Tamil Nadu,Rural,Below 1 Lakh,Illiterate,Graduate,2,0.8,No,No,Yes,Yes,87,57,1
16,Bihar,Urban,3-5 Lakh,Illiterate,Illiterate,2,1.2,Yes,Yes,Yes,No,80,59,0
17,Gujarat,Rural,1-3 Lakh,Graduate,Illiterate,1,0.2,Yes,No,Yes,No,50,20,1
12,Bihar,Rural,1-3 Lakh,Graduate,Primary,5,4.1,Yes,Yes,No,No,58,59,1
15,Maharashtra,Rural,Below 1 Lakh,Primary,Illiterate,3,5.4,No,No,Yes,No,74,61,0
14,Maharashtra,Rural,3-5 Lakh,Primary,Illiterate,0,2.7,No,Yes,No,No,39,88,0
12,Gujarat,Rural,1-3 Lakh,Secondary,Illiterate,6,2.0,No,No,No,No,71,33,1
12,Karnataka,Rural,Below 1 Lakh,Illiterate,Primary,4,2.8,Yes,No,No,No,83,53,0
14,Karnataka,Urban,Above 5 Lakh,Secondary,Graduate,1,5.1,Yes,No,No,No,64,64,0
11,Rajasthan,Urban,1-3 Lakh,Graduate,Secondary,5,8.2,Yes,No,No,No,70,32,0
13,Madhya Pradesh,Rural,Below 1 Lakh,Primary,Secondary,3,0.1,Yes,No,Yes,No,72,35,0
13,Rajasthan,Rural,3-5 Lakh,Illiterate,Illiterate,2,11.1,No,No,No,No,100,51,0
11,Madhya Pradesh,Urban,3-5 Lakh,Primary,Primary,1,0.8,No,No,No,No,84,35,1
12,Bihar,Rural,Above 5 Lakh,Illiterate,Illiterate,3,1.9,No,No,No,No,71,34,0
16,Karnataka,Rural,Below 1 Lakh,Secondary,Illiterate,2,1.8,Yes,No,Yes,No,63,49,1
12,Madhya Pradesh,Rural,3-5 Lakh,Graduate,Illiterate,6,0.9,Yes,No,No,No,76,38,0
14,West Bengal,Rural,1-3 Lakh,Primary,Illiterate,4,1.0,Yes,No,Yes,No,68,61,0
14,Maharashtra,Rural,Above 5 Lakh,Primary,Primary,4,0.7,Yes,No,No,No,85,81,0
15,West Bengal,Rural,Below 1 Lakh,Illiterate,Illiterate,3,1.8,No,No,Yes,No,72,49,1
13,Tamil Nadu,Rural,1-3 Lakh,Primary,Secondary,1,1.1,Yes,No,No,No,45,64,0
12,Tamil Nadu,Rural,Above 5 Lakh,Graduate,Primary,1,4.1,No,No,Yes,No,61,72,1
12,Odisha,Urban,Above 5 Lakh,Secondary,Illiterate,0,3.9,Yes,No,No,No,97,43,0
13,West Bengal,Rural,Above 5 Lakh,Primary,Illiterate,0,15.0,Yes,Yes,Yes,Yes,78,54,1
11,Uttar Pradesh,Rural,Below 1 Lakh,Secondary,Illiterate,3,3.2,Yes,Yes,No,No,77,56,1
15,Madhya Pradesh,Rural,Below 1 Lakh,Secondary,Secondary,3,1.1,No,No,Yes,No,96,30,1
11,Madhya Pradesh,Urban,Below 1 Lakh,Primary,Primary,1,0.4,No,No,Yes,No,57,21,1
15,Gujarat,Rural,1-3 Lakh,Illiterate,Secondary,1,5.3,Yes,No,Yes,No,57,60,0
16,Odisha,Urban,Above 5 Lakh,Secondary,Illiterate,0,0.5,No,Yes,No,Yes,53,40,1
16,Bihar,Rural,1-3 Lakh,Primary,Graduate,5,1.3,Yes,Yes,Yes,No,62,83,0
17,Gujarat,Rural,Above 5 Lakh,Illiterate,Primary,3,0.2,No,No,Yes,Yes,63,43,1
17,Maharashtra,Urban,Below 1 Lakh,Primary,Secondary,3,1.4,No,Yes,No,No,66,62,0
12,Bihar,Rural,3-5 Lakh,Illiterate,Illiterate,3,1.5,Yes,No,Yes,Yes,100,35,1
11,Karnataka,Rural,Below 1 Lakh,Primary,Primary,0,2.8,Yes,No,No,Yes,77,46,1
16,Bihar,Urban,Above 5 Lakh,Illiterate,Primary,1,0.2,No,No,No,No,68,48,1
16,West Bengal,Rural,Above 5 Lakh,Illiterate,Primary,1,0.8,Yes,No,No,No,74,88,0
16,West Bengal,Rural,1-3 Lakh,Graduate,Primary,6,2.1,Yes,No,No,No,35,63,0
17,Odisha,Rural,Below 1 Lakh,Illiterate,Primary,6,1.5,No,Yes,No,No,88,71,1
14,Maharashtra,Rural,Above 5 Lakh,Secondary,Illiterate,0,1.3,Yes,No,Yes,No,80,70,0
17,Rajasthan,Urban,3-5 Lakh,Graduate,Illiterate,4,0.4,Yes,No,Yes,No,74,69,0
12,Uttar Pradesh,Rural,Below 1 Lakh,Primary,Illiterate,2,0.4,Yes,Yes,Yes,No,81,66,0
12,Rajasthan,Urban,Above 5 Lakh,Primary,Primary,5,1.1,No,No,No,No,87,61,0
16,Madhya Pradesh,Urban,Below 1 Lakh,Graduate,Secondary,0,1.5,Yes,No,No,No,59,45,1
11,Odisha,Rural,1-3 Lakh,Primary,Primary,2,1.4,No,Yes,No,No,83,60,0
14,Rajasthan,Rural,Below 1 Lakh,Primary,Primary,3,0.9,Yes,No,No,No,63,53,1
13,West Bengal,Urban,1-3 Lakh,Primary,Graduate,1,1.0,Yes,No,Yes,No,89,53,0
13,Rajasthan,Urban,Below 1 Lakh,Graduate,Secondary,1,2.2,Yes,No,No,Yes,60,83,1
12,Karnataka,Rural,Below 1 Lakh,Graduate,Graduate,6,3.2,Yes,No,No,Yes,80,60,1
15,Uttar Pradesh,Rural,3-5 Lakh,Primary,Secondary,3,5.7,No,No,Yes,No,100,69,0
11,Gujarat,Rural,Below 1 Lakh,Primary,Illiterate,0,1.0,No,Yes,Yes,No,72,61,0
12,Odisha,Rural,Above 5 Lakh,Secondary,Illiterate,4,1.9,No,No,Yes,No,75,60,0
14,Uttar Pradesh,Urban,1-3 Lakh,Secondary,Secondary,5,4.7,No,Yes,No,No,100,64,0
11,Bihar,Rural,3-5 Lakh,Illiterate,Illiterate,3,4.1,Yes,Yes,No,No,54,76,1
17,Tamil Nadu,Urban,Below 1 Lakh,Illiterate,Secondary,0,5.8,No,No,No,No,57,65,1
13,West Bengal,Urban,Above 5 Lakh,Illiterate,Primary,0,0.8,Yes,Yes,No,No,68,67,0
12,Uttar Pradesh,Rural,Below 1 Lakh,Graduate,Illiterate,2,0.6,Yes,No,No,No,91,64,0
11,Tamil Nadu,Urban,1-3 Lakh,Secondary,Illiterate,2,0.1,No,Yes,No,Yes,100,46,1
12,Madhya Pradesh,Rural,Above 5 Lakh,Illiterate,Primary,0,0.2,No,No,No,No,78,74,0
13,Maharashtra,Urban,3-5 Lakh,Secondary,Illiterate,5,0.5,Yes,No,Yes,No,75,20,0
13,Gujarat,Rural,Below 1 Lakh,Secondary,Secondary,6,2.8,Yes,Yes,Yes,No,100,75,0
11,Uttar Pradesh,Rural,3-5 Lakh,Primary,Illiterate,2,1.7,Yes,Yes,No,No,84,59,0
15,Madhya Pradesh,Rural,1-3 Lakh,Primary,Illiterate,5,4.9,No,No,No,No,100,86,1
17,West Bengal,Rural,Above 5 Lakh,Illiterate,Illiterate,5,0.5,No,No,Yes,No,75,58,0
16,Gujarat,Rural,Below 1 Lakh,Secondary,Graduate,5,2.4,No,Yes,No,No,85,30,1
13,Maharashtra,Rural,Below 1 Lakh,Primary,Primary,5,7.8,No,No,No,No,83,44,1
15,Bihar,Rural,Above 5 Lakh,Secondary,Illiterate,1,3.0,Yes,No,No,No,63,48,1
16,Gujarat,Urban,1-3 Lakh,Primary,Illiterate,5,0.6,Yes,No,No,No,52,78,0
12,Gujarat,Urban,3-5 Lakh,Illiterate,Primary,2,1.8,Yes,Yes,No,No,83,42,0
16,Gujarat,Rural,Below 1 Lakh,Secondary,Graduate,3,1.1,Yes,No,No,No,76,77,0
16,Gujarat,Rural,Below 1 Lakh,Secondary,Illiterate,0,0.8,Yes,Yes,Yes,No,84,60,0
14,Bihar,Urban,Above 5 Lakh,Secondary,Primary,3,3.1,No,Yes,No,No,78,59,0
15,Gujarat,Rural,1-3 Lakh,Primary,Illiterate,3,1.4,Yes,No,Yes,No,63,79,1
11,Tamil Nadu,Urban,Below 1 Lakh,Secondary,Illiterate,1,3.5,Yes,No,No,No,80,76,0
12,Maharashtra,Rural,3-5 Lakh,Graduate,Illiterate,0,2.0,No,No,No,No,71,92,0
13,Gujarat,Rural,Below 1 Lakh,Illiterate,Primary,6,0.3,Yes,Yes,No,No,72,78,0
13,Maharashtra,Rural,Above 5 Lakh,Graduate,Primary,0,2.3,Yes,No,Yes,Yes,100,28,1
11,Madhya Pradesh,Urban,3-5 Lakh,Primary,Secondary,0,2.0,Yes,No,No,No,75,83,0
12,West Bengal,Rural,1-3 Lakh,Secondary,Illiterate,6,1.3,Yes,Yes,No,No,73,66,0
12,Maharashtra,Rural,3-5 Lakh,Illiterate,Secondary,5,0.9,No,No,No,No,62,98,0
16,Rajasthan,Urban,1-3 Lakh,Graduate,Primary,5,2.3,Yes,Yes,No,No,78,81,0
14,Gujarat,Urban,Below 1 Lakh,Secondary,Primary,2,1.5,Yes,No,No,No,88,46,1
15,Uttar Pradesh,Urban,Above 5 Lakh,Illiterate,Primary,2,0.4,No,Yes,No,No,76,42,0
11,Gujarat,Urban,Above 5 Lakh,Illiterate,Secondary,3,4.3,No,No,No,No,60,42,1
11,West Bengal,Rural,Below 1 Lakh,Secondary,Graduate,6,1.4,Yes,Yes,No,No,74,49,0
13,West Bengal,Rural,3-5 Lakh,Primary,Primary,2,2.7,No,Yes,Yes,No,74,48,0
12,Uttar Pradesh,Rural,1-3 Lakh,Illiterate,Primary,2,3.6,Yes,Yes,No,Yes,71,77,1
12,Rajasthan,Rural,1-3 Lakh,Illiterate,Illiterate,0,5.2,Yes,No,No,No,89,68,0
16,Maharashtra,Urban,Below 1 Lakh,Primary,Illiterate,4,2.9,Yes,No,No,No,79,57,0
12,Uttar Pradesh,Urban,1-3 Lakh,Secondary,Primary,0,0.4,Yes,Yes,No,No,48,63,0
12,Karnataka,Urban,1-3 Lakh,Secondary,Illiterate,3,7.7,No,No,No,No,68,43,1
13,Odisha,Rural,Below 1 Lakh,Secondary,Illiterate,1,0.3,No,Yes,Yes,Yes,86,67,1
12,Maharashtra,Rural,1-3 Lakh,Primary,Graduate,3,0.2,No,Yes,No,No,66,76,0
16,Gujarat,Urban,Below 1 Lakh,Primary,Primary,1,3.1,No,No,Yes,No,83,51,1
16,West Bengal,Rural,Below 1 Lakh,Secondary,Illiterate,3,0.0,No,Yes,Yes,No,68,86,1
12,Odisha,Urban,1-3 Lakh,Secondary,Primary,6,3.0,Yes,Yes,No,Yes,88,42,1
13,Rajasthan,Rural,1-3 Lakh,Illiterate,Illiterate,0,1.1,Yes,Yes,No,No,75,50,0
13,West Bengal,Rural,1-3 Lakh,Illiterate,Illiterate,3,0.6,Yes,Yes,No,No,50,100,0
17,Madhya Pradesh,Rural,1-3 Lakh,Primary,Primary,6,4.2,Yes,No,Yes,No,91,70,0
13,West Bengal,Urban,Below 1 Lakh,Primary,Secondary,0,0.2,Yes,No,Yes,No,98,58,0
14,Bihar,Rural,1-3 Lakh,Secondary,Primary,4,3.3,No,No,Yes,No,75,70,0
16,Madhya Pradesh,Rural,Below 1 Lakh,Illiterate,Graduate,5,8.0,Yes,Yes,No,No,86,80,0
12,Odisha,Urban,Below 1 Lakh,Graduate,Primary,1,0.6,Yes,Yes,Yes,No,65,48,0
16,West Bengal,Rural,1-3 Lakh,Primary,Illiterate,1,0.9,Yes,No,Yes,No,75,38,0
15,Tamil Nadu,Urban,Above 5 Lakh,Secondary,Illiterate,4,0.5,No,Yes,Yes,Yes,64,64,0
15,Karnataka,Urban,Below 1 Lakh,Primary,Primary,0,2.3,Yes,No,Yes,No,63,20,0
14,Uttar Pradesh,Urban,1-3 Lakh,Illiterate,Illiterate,0,1.1,Yes,No,No,No,81,73,0
12,Uttar Pradesh,Rural,Below 1 Lakh,Primary,Secondary,4,3.5,Yes,Yes,Yes,No,55,59,0
14,Madhya Pradesh,Rural,Below 1 Lakh,Graduate,Secondary,0,1.9,Yes,Yes,No,No,66,62,0
13,Karnataka,Urban,1-3 Lakh,Secondary,Graduate,5,4.9,Yes,No,No,No,68,63,1
12,West Bengal,Rural,1-3 Lakh,Illiterate,Secondary,1,3.2,Yes,Yes,Yes,No,87,53,0
11,Gujarat,Urban,Above 5 Lakh,Graduate,Illiterate,0,0.4,Yes,Yes,Yes,No,68,62,0
15,Odisha,Rural,1-3 Lakh,Graduate,Secondary,1,10.4,No,No,No,Yes,63,56,1
17,Odisha,Rural,Above 5 Lakh,Secondary,Primary,0,1.3,No,Yes,No,No,73,44,0
15,Uttar Pradesh,Rural,Below 1 Lakh,Secondary,Illiterate,3,1.1,Yes,Yes,Yes,No,89,43,0
12,Bihar,Urban,Above 5 Lakh,Primary,Graduate,3,0.1,No,No,No,Yes,70,60,1
11,West Bengal,Urban,Below 1 Lakh,Secondary,Primary,1,2.8,No,No,Yes,Yes,49,37,1
13,Bihar,Rural,Below 1 Lakh,Illiterate,Graduate,3,3.5,No,Yes,No,No,65,76,1
13,West Bengal,Rural,Above 5 Lakh,Secondary,Secondary,0,4.2,No,Yes,No,No,73,60,0
16,Rajasthan,Rural,Below 1 Lakh,Illiterate,Illiterate,6,2.1,Yes,Yes,Yes,Yes,62,37,1
16,Karnataka,Rural,Below 1 Lakh,Illiterate,Graduate,2,1.1,No,No,No,No,64,60,0
12,Bihar,Rural,1-3 Lakh,Secondary,Secondary,6,0.5,No,Yes,Yes,No,69,66,0
15,Uttar Pradesh,Urban,Below 1 Lakh,Secondary,Secondary,5,0.1,No,No,No,Yes,71,33,1
11,Bihar,Urban,Below 1 Lakh,Primary,Illiterate,4,3.4,No,Yes,Yes,No,85,77,1
17,Madhya Pradesh,Urban,1-3 Lakh,Primary,Primary,3,0.3,No,Yes,Yes,No,85,35,0
13,Uttar Pradesh,Rural,Below 1 Lakh,Illiterate,Illiterate,6,5.9,Yes,No,No,No,90,52,0
16,Bihar,Rural,Below 1 Lakh,Illiterate,Secondary,3,0.2,Yes,Yes,Yes,No,74,72,0
11,Maharashtra,Rural,3-5 Lakh,Secondary,Primary,1,1.2,No,No,No,Yes,66,43,1
14,Gujarat,Urban,Below 1 Lakh,Illiterate,Illiterate,6,1.8,Yes,No,No,No,91,73,1
12,Karnataka,Rural,Below 1 Lakh,Primary,Illiterate,6,4.8,No,No,No,No,92,59,0
14,Uttar Pradesh,Rural,Below 1 Lakh,Illiterate,Primary,6,0.6,Yes,No,Yes,No,99,51,0
12,Bihar,Rural,3-5 Lakh,Secondary,Primary,6,1.4,Yes,Yes,Yes,No,43,46,0
